개방자치코드,인허가일자,영업상태코드,상세영업상태,소재지,도로명,사업장명,자본금
4231000,2012-07-19,01,영업중,강원특별자치도 속초시 교동 783-9 ,"강원특별자치도 속초시 미시령로3337번길 2, 3층 (교동)",주식회사 에이플러스여행사,17530000
4231000,2022-09-01,03,폐업,강원특별자치도 속초시 조양동 1480-104 ,강원특별자치도 속초시 새마을길 66 (조양동),주식회사 바다서프리조트,42802000
4231000,2017-12-27,01,영업중,강원특별자치도 속초시 설악동 248-17 ,강원특별자치도 속초시 청봉로5길 37 (설악동),유한회사 설악여행자센터,10291000
4231000,2018-06-08,01,영업중,강원특별자치도 속초시 교동 907-7 ,강원특별자치도 속초시 만천7길 19-14 (교동),두루웹디자인,39305000
4231000,2013-01-22,01,영업중,강원특별자치도 속초시 조양동 1401 ,"강원특별자치도 속초시 동해대로 3964, 1층 3-2호 (조양동)",주식회사 인자이프,18734000
4231000,2020-08-11,01,영업중,강원특별자치도 속초시 동명동 261-17 ,"강원특별자치도 속초시 수복로259번길 11, 2층 (동명동)",주식회사 트리밸,28651000
4231000,2023-12-18,01,영업중,강원특별자치도 속초시 교동 783-9 ,"강원특별자치도 속초시 미시령로3337번길 2, 더워크 공유오피스 302호층 5호 (교동)",속초산책,14506000
4231000,2001-11-26,03,폐업,강원특별자치도 속초시 조양동 1034-4 ,"강원특별자치도 속초시 동해대로 4024, 103, 104호 (조양동)",주식회사 파고다관광,43420000
4231000,2002-05-18,03,폐업,강원특별자치도 속초시 교동 895-1 ,강원특별자치도 속초시 청대로 301 (교동),아시아항공여행사,3789000
4231000,2006-12-18,03,폐업,강원특별자치도 속초시 교동 895-1 ,"강원특별자치도 속초시 청대로 301, 3층 (교동, 만천빌딩)",(합)뉴통일관광,12724000
4231000,2007-03-27,03,폐업,강원특별자치도 속초시 교동 690-12 ,강원특별자치도 속초시 동해대로 4214 (교동),(주)한아름설악산관광,37024000
4231000,2007-09-08,03,폐업,강원특별자치도 속초시 청학동 633-140 ,강원특별자치도 속초시 번영로 47-1  (청학동),(주)드림아이,33167000
4231000,2008-07-07,03,폐업,강원특별자치도 속초시 조양동 1418 ,강원특별자치도 속초시 동해대로 3988  (조양동),동부티엔에스 주식회사,1010000
4231000,2008-10-22,03,폐업,강원특별자치도 속초시 교동 733-1 ,강원특별자치도 속초시 동해대로 4228 (교동),(주)글로리렌트여행사,11531000
